产品编号,产品名称,类别,价格,库存数量,供应商,评分,更新日期
P001,华为Mate60手机,电子产品,5999.00,120,华为科技,4.8,2024-01-15
P002,小米电视55寸,电子产品,2899.00,85,小米集团,4.6,2024-01-18
P003,联想笔记本电脑,电子产品,6499.00,65,联想集团,4.7,2024-01-20
P004,美的空调,家用电器,3299.00,150,美的集团,4.5,2024-01-22
P005,海尔冰箱,家用电器,4599.00,95,海尔集团,4.7,2024-01-25
P006,格力电风扇,家用电器,299.00,300,格力电器,4.3,2024-01-12
P007,苹果AirPods耳机,电子产品,1599.00,200,苹果公司,4.9,2024-01-28
P008,小天鹅洗衣机,家用电器,2199.00,110,美的集团,4.4,2024-01-16
P009,索尼数码相机,电子产品,8999.00,45,索尼中国,4.8,2024-01-30
P010,戴尔显示器27寸,电子产品,1899.00,180,戴尔中国,4.5,2024-01-14
P011,宜家书桌,家具,899.00,250,宜家中国,4.2,2024-01-19
P012,顾家沙发,家具,5999.00,60,顾家家居,4.6,2024-01-21
P013,全友衣柜,家具,3499.00,80,全友家居,4.4,2024-01-17
P014,九阳豆浆机,家用电器,399.00,280,九阳股份,4.5,2024-01-23
P015,苏泊尔电饭煲,家用电器,599.00,320,苏泊尔集团,4.6,2024-01-26
P016,飞利浦剃须刀,个人护理,799.00,150,飞利浦中国,4.7,2024-01-15
P017,松下吹风机,个人护理,499.00,200,松下电器,4.5,2024-01-20
P018,欧莱雅护肤套装,美妆护理,899.00,180,欧莱雅中国,4.4,2024-01-24
P019,耐克运动鞋,服饰鞋包,799.00,250,耐克中国,4.6,2024-01-22
P020,阿迪达斯运动服,服饰鞋包,599.00,300,阿迪达斯中国,4.5,2024-01-27
